slots,threads,var,value
4194304,8,normtime,401598.848179562
4194304,8,efficiency,0.733627013011445
4194304,9,ipc,1.46
4194304,9,cachemiss,28.845
4194304,9,normtime,429948.81612707954
4194304,9,efficiency,0.698147344800895
4194304,10,ipc,1.45
4194304,10,cachemiss,27.222
4194304,10,normtime,465966.7360887858
4194304,10,efficiency,0.6809696517987279
4194304,11,ipc,1.42
4194304,11,cachemiss,27.006
4194304,11,normtime,497222.91192016675
4194304,11,efficiency,0.6605889277120759
4194304,12,ipc,1.31
4194304,12,cachemiss,26.771
4194304,12,normtime,472361.30816707667
4194304,12,efficiency,0.5752622999188288
8388608,1,ipc,1.67
8388608,1,cachemiss,38.516
8388608,1,normtime,66093.5410209571
8388608,1,efficiency,1.0
8388608,2,ipc,1.6
8388608,2,cachemiss,38.508
8388608,2,normtime,124405.28637411958
8388608,2,efficiency,0.941130437652545
8388608,3,ipc,1.46
8388608,3,cachemiss,39.286
8388608,3,normtime,154727.9027310849
8388608,3,efficiency,0.7803480760801493
8388608,4,ipc,1.34
8388608,4,cachemiss,39.779
8388608,4,normtime,182445.01734724038
8388608,4,efficiency,0.6901015383991541
8388608,5,ipc,1.23
8388608,5,cachemiss,39.732
8388608,5,normtime,201401.74522557476
8388608,5,efficiency,0.6094445602837767
8388608,6,ipc,1.12
8388608,6,cachemiss,39.833
8388608,6,normtime,212963.00946614495
8388608,6,efficiency,0.5370242592959226
8388608,7,ipc,1.53
8388608,7,cachemiss,39.059
8388608,7,normtime,365945.4595408112
8388608,7,efficiency,0.7909687086513953
8388608,8,ipc,1.47
8388608,8,cachemiss,39.605
8388608,8,normtime,394405.3127789133
8388608,8,efficiency,0.7459225717945993
8388608,9,ipc,1.45
8388608,9,cachemiss,38.81
8388608,9,normtime,430123.1370977244
8388608,9,efficiency,0.7230882010448056
8388608,10,ipc,1.46
8388608,10,cachemiss,37.909
8388608,10,normtime,469175.1622319959
8388608,10,efficiency,0.7098653741115621
8388608,11,ipc,1.42
8388608,11,cachemiss,37.244
8388608,11,normtime,494654.85997799935
8388608,11,efficiency,0.680378489936026
8388608,12,ipc,1.32
8388608,12,cachemiss,37.632
8388608,12,normtime,476738.14306353545
8388608,12,efficiency,0.601090181808096
1024,"1, AVX2",ipc,1.92
1024,"1, AVX2",cachemiss,3.074
1024,"1, AVX2",normtime,51050.95418670421
1024,"1, AVX2",efficiency,0.7724045859566951
2048,"1, AVX2",ipc,1.89
2048,"1, AVX2",cachemiss,2.963
2048,"1, AVX2",normtime,56436.840768166025
2048,"1, AVX2",efficiency,0.8538934349162938
4096,"1, AVX2",ipc,1.87
4096,"1, AVX2",cachemiss,2.784
4096,"1, AVX2",normtime,69601.86475902275
4096,"1, AVX2",efficiency,1.053081188931203
8192,"1, AVX2",ipc,1.87
8192,"1, AVX2",cachemiss,2.999
8192,"1, AVX2",normtime,77945.55386981169
8192,"1, AVX2",efficiency,1.1793218015826468
16384,"1, AVX2",ipc,1.87
16384,"1, AVX2",cachemiss,2.975
16384,"1, AVX2",normtime,83133.44612332387
16384,"1, AVX2",efficiency,1.257814982207773
32768,"1, AVX2",ipc,1.87
32768,"1, AVX2",cachemiss,1.546
32768,"1, AVX2",normtime,86721.55895044323
32768,"1, AVX2",efficiency,1.3121033857596667
65536,"1, AVX2",ipc,1.87
65536,"1, AVX2",cachemiss,0.187
65536,"1, AVX2",normtime,90034.35156163976
65536,"1, AVX2",efficiency,1.3622261747648148
131072,"1, AVX2",ipc,1.86
131072,"1, AVX2",cachemiss,0.11
131072,"1, AVX2",normtime,90008.90039639887
131072,"1, AVX2",efficiency,1.361841096815476
262144,"1, AVX2",ipc,1.87
262144,"1, AVX2",cachemiss,0.075
262144,"1, AVX2",normtime,91059.31147022946
262144,"1, AVX2",efficiency,1.3777338914457034
524288,"1, AVX2",ipc,1.86
524288,"1, AVX2",cachemiss,0.088
524288,"1, AVX2",normtime,90360.86303360257
524288,"1, AVX2",efficiency,1.367166316674586
1048576,"1, AVX2",ipc,1.87
1048576,"1, AVX2",cachemiss,0.107
1048576,"1, AVX2",normtime,91218.53500126011
1048576,"1, AVX2",efficiency,1.380142954851463
2097152,"1, AVX2",ipc,1.87
2097152,"1, AVX2",cachemiss,0.154
2097152,"1, AVX2",normtime,91268.51308959331
2097152,"1, AVX2",efficiency,1.3808991269003679
4194304,"1, AVX2",ipc,1.83
4194304,"1, AVX2",cachemiss,38.747
4194304,"1, AVX2",normtime,89379.93415607193
4194304,"1, AVX2",efficiency,1.35232479264095
8388608,"1, AVX2",ipc,1.79
8388608,"1, AVX2",cachemiss,37.349
8388608,"1, AVX2",normtime,87304.21739351925
8388608,"1, AVX2",efficiency,1.3209190496517145
